Cell name,Marginal land (ha)
BE100,200.0
BE211,1600.0
BE212,300.0
BE213,2600.0
BE221,1900.0
BE222,600.0
BE223,400.0
BE231,0.0
BE232,100.0
BE233,0.0
BE234,0.0
BE235,0.0
BE236,100.0
BE241,300.0
BE242,600.0
BE251,400.0
BE252,0.0
BE253,0.0
BE254,100.0
BE255,0.0
BE256,0.0
BE257,300.0
BE258,600.0
BE310,400.0
BE321,0.0
BE322,0.0
BE323,0.0
BE324,0.0
BE325,200.0
BE326,200.0
BE327,100.0
BE331,200.0
BE332,900.0
BE334,0.0
BE335,4000.0
BE341,0.0
BE342,1300.0
BE343,1300.0
BE344,1200.0
BE345,300.0
BE351,700.0
BE352,0.0
BE353,300.0
