Cell name,X,Y
FRH02,3283.902196,2893.383774
FRH03,3458.762172,2850.481192
FRI21,3684.956228,2506.32781
FRI22,3704.355294,2586.154157
FRK25,3866.747805,2530.517016
FRK26,3904.799612,2543.611312
FRJ21,3626.961576,2240.826906
FRI23,3641.635308,2571.051467
FRK27,4042.632382,2491.666971
FRK28,4044.70446,2555.465546
FRL05,4016.299145,2266.8409
FRJ11,3702.90034,2252.996355
FRJ13,3784.735547,2298.268933
FRK11,3797.369764,2610.747983
FRJ12,3853.637119,2338.581542
FRJ14,3803.932206,2400.95559
FRK12,3743.540376,2466.089185
FRK13,3833.574151,2466.496204
FRJ15,3706.471294,2196.582909
FRK21,3961.200318,2565.319902
FRK14,3787.176986,2537.167245
FRL06,3933.73052,2334.376321
FRK22,3879.153664,2421.004302
FRK23,3937.508136,2409.405342
FRL01,4019.747526,2340.453777
FRL02,4024.238956,2402.160259
FRK24,3973.470887,2471.555889
FRL03,4089.000881,2318.683287
FRL04,3923.205744,2283.540332
FRG02,3525.914683,2754.353214
FRG03,3530.670048,2838.636478
FRH04,3367.190796,2831.215404
FRJ22,3736.458421,2380.840581
FRG04,3593.317103,2812.793764
FRG05,3459.522065,2683.713272
FRJ23,3605.364943,2292.152843
FRI31,3559.612637,2561.916793
FRI11,3593.214566,2488.835492
FRJ24,3551.820265,2336.137223
FRJ25,3655.06161,2427.796292
FRI32,3493.157141,2578.130832
FRI12,3486.341127,2471.610515
FRI13,3456.974994,2379.633696
FRJ26,3519.937477,2268.715486
FRJ27,3690.220288,2330.345
FRI33,3531.941201,2659.643867
FRI14,3561.381744,2410.422078
FRJ28,3622.99449,2371.339641
FRH01,3374.383106,2897.027656
FRI34,3591.130773,2652.612826
FRI15,3448.224468,2301.405797
FRE21,3855.544945,2958.961097
FRB04,3618.034098,2726.969815
FRB05,3677.943527,2759.864837
FRB06,3749.570129,2785.001993
FRD11,3566.863921,2940.597918
FRC12,3828.382957,2688.45676
FRC14,3839.685655,2768.330696
FRC13,3903.187648,2629.969428
FRE11,3840.3443,3059.414289
FRD12,3496.993061,2948.724905
FRE12,3774.949922,3071.183874
FRD13,3595.516126,2883.134694
FRF31,4039.230216,2860.006367
FRF32,3983.161749,2885.764768
FRF33,4077.05205,2885.97971
FRF34,4051.929214,2793.603928
FRF11,4140.624738,2842.698627
FRC11,3926.677186,2715.171396
FRC23,4026.879238,2733.073082
FRC24,4090.105702,2729.023342
FRF12,4116.956588,2753.202629
FRG01,3442.147552,2763.769537
FRC21,4045.050415,2679.211316
FRC22,3992.0361,2633.429073
FRE22,3772.330407,2950.202895
FR101,3760.077251,2889.560924
FRE23,3767.991924,3011.969545
FRF21,3934.037578,2958.892202
FRD21,3665.435827,2929.051381
FRD22,3674.932894,2988.712431
FR102,3800.804625,2859.758671
FR103,3723.027728,2888.894156
FRF22,3888.223364,2816.114809
FRF23,3899.360162,2887.219634
FR104,3749.004159,2853.338623
FR105,3752.924074,2889.296595
FR106,3770.663128,2895.275734
FR107,3768.424109,2879.829926
FR108,3747.289591,2916.223208
FRF24,3965.648043,2788.814531
FRB01,3751.235656,2690.133745
FRB02,3683.242062,2845.574544
FRB03,3678.636868,2665.896776
