Cell name,costs production (euro/MWh)
FRH02,11.252
FRH03,15.183
FRI21,8.309
FRI22,9.275
FRK25,9.091
FRK26,8.567
FRJ21,9.444
FRI23,9.228
FRK27,8.44
FRK28,8.779
FRL05,10.273
FRJ11,10.635
FRJ13,10.308
FRK11,9.028
FRJ12,9.542
FRJ14,11.271
FRK12,9.47
FRK13,10.439
FRJ15,10.221
FRK21,9.084
FRK14,10.587
FRL06,7.556
FRK22,9.037
FRK23,7.216
FRL01,8.154
FRL02,8.632
FRK24,7.294
FRL03,6.624
FRL04,8.826
FRG02,7.542
FRG03,9.544
FRH04,11.338
FRJ22,8.865
FRG04,8.435
FRG05,8.721
FRJ23,8.207
FRI31,6.349
FRI11,6.735
FRJ24,7.38
FRJ25,10.606
FRI32,7.635
FRI12,8.187
FRI13,6.466
FRJ26,8.716
FRJ27,9.795
FRI33,6.887
FRI14,7.592
FRJ28,8.255
FRH01,10.981
FRI34,7.249
FRI15,7.288
FRE21,8.252
FRB04,9.003
FRB05,9.544
FRB06,7.983
FRD11,8.195
FRC12,9.152
FRC14,7.361
FRC13,8.284
FRE11,8.644
FRD12,9.479
FRE12,8.652
FRD13,9.447
FRF31,8.686
FRF32,8.8
FRF33,8.742
FRF34,9.152
FRF11,8.973
FRC11,7.592
FRC23,9.063
FRC24,15.183
FRF12,9.835
FRG01,9.585
FRC21,9.218
FRC22,8.175
FRE22,7.792
FR101,0
FRE23,9.177
FRF21,8.385
FRD21,8.133
FRD22,8.756
FR102,8.212
FR103,0
FRF22,7.56
FRF23,7.912
FR104,6.681
FR105,0
FR106,0
FR107,0
FR108,6.771
FRF24,0
FRB01,7.183
FRB02,8.624
FRB03,7.262
